Epoch,Training_Accuracy,Validation_Accuracy
1,70.0,75.0
2,70.83631605360186,75.67224520496427
3,71.67263210720374,76.34449040992854
4,72.5089481608056,77.01673561489282
5,73.34526421440748,77.6889808198571
6,74.18158026800934,78.36122602482136
7,75.0178963216112,79.03347122978563
8,75.85421237521308,79.7057164347499
9,76.69052842881494,80.37796163971417
10,77.5268444824168,81.05020684467846
11,78.36316053601868,81.72245204964273
12,79.19947658962055,82.394697254607
13,80.03579264322242,83.06694245957127
14,80.87210869682428,83.73918766453554
15,81.70842475042615,84.4114328694998
16,82.54474080402802,85.08367807446409
17,83.38105685762989,85.75592327942836
18,84.21737291123176,86.42816848439263
19,85.05368896483363,87.1004136893569
20,85.89000501843549,87.77265889432117
21,86.72632107203736,88.44490409928545
22,87.56263712563923,89.11714930424972
23,88.39895317924109,89.78939450921399
24,89.23526923284297,90.46163971417826
25,90.07158528644483,91.13388491914253
26,90.90790134004669,91.8061301241068
27,91.74421739364857,92.47837532907108
28,92.58053344725043,93.15062053403535
29,93.41684950085231,93.82286573899962
30,94.25316555445417,94.4951109439639
31,95.08948160805605,95.16735614892818
32,95.92579766165791,95.83960135389245
33,96.76211371525977,96.51184655885672
34,97.59842976886165,97.18409176382099
35,98.43474582246351,97.85633696878526
